"Bullying Counts, 2013-14"
"All Districts"

"",,"Bullying Type",
"DISTRICT","District Code","Number of students with at least 1 bullying incident","Counts of Bullying Incidents"
"Achievement First Hartford Academy Inc. District","=""2880013""",10,12
"Amistad Academy District","=""2790013""",8,9
"Area Cooperative Educational Services","=""2440014""",27,31
"Ashford School District","=""0030011""","*","*"
"Avon School District","=""0040011""","*","*"
"Barkhamsted School District","=""0050011""","*","*"
"Berlin School District","=""0070011""","*","*"
"Bethany School District","=""0080011""","*","*"
"Bethel School District","=""0090011""",9,11
"Bolton School District","=""0120011""","*",7
"Bozrah School District","=""0130011""","*","*"
"Branford School District","=""0140011""","*",8
"Bridgeport Achievement First District","=""2850013""",7,7
"Bridgeport School District","=""0150011""","*","*"
"Bristol School District","=""0170011""",9,9
"Brookfield School District","=""0180011""","*","*"
"Brooklyn School District","=""0190011""","*","*"
"Canaan School District","=""0210011""","*","*"
"Canterbury School District","=""0220011""","*","*"
"Capitol Region Education Council","=""2410014""",9,11
"Cheshire School District","=""0250011""",24,30
"Clinton School District","=""0270011""","*",6
"Colchester School District","=""0280011""","*","*"
"Columbia School District","=""0300011""","*","*"
"Common Ground High School District","=""2680013""","*","*"
"Connecticut Technical High School System","=""9000016""",37,43
"Cooperative Educational Services","=""2430014""","*","*"
"Cornwall School District","=""0310011""","*","*"
"Coventry School District","=""0320011""","*","*"
"Cromwell School District","=""0330011""","*",9
"Danbury School District","=""0340011""",10,11
"Darien School District","=""0350011""","*","*"
"Derby School District","=""0370011""","*","*"
"East Granby School District","=""0400011""","*","*"
"East Hampton School District","=""0420011""",12,13
"East Hartford School District","=""0430011""",33,37
"East Haven School District","=""0440011""",8,8
"East Lyme School District","=""0450011""","*","*"
"East Windsor School District","=""0470011""","*","*"
"Easton School District","=""0460011""","*","*"
"Ellington School District","=""0480011""","*","*"
"Elm City College Preparatory School District","=""2890013""","*","*"
"Enfield School District","=""0490011""","*","*"
"Essex School District","=""0500011""","*","*"
"Fairfield School District","=""0510011""",10,11
"Farmington School District","=""0520011""",9,10
"Franklin School District","=""0530011""","*",6
"Glastonbury School District","=""0540011""","*","*"
"Granby School District","=""0560011""","*","*"
"Greenwich School District","=""0570011""",9,11
"Griswold School District","=""0580011""","*","*"
"Groton School District","=""0590011""",9,9
"Guilford School District","=""0600011""","*","*"
"Hamden School District","=""0620011""",16,19
"Hampton School District","=""0630011""","*","*"
"Hartford School District","=""0640011""",77,84
"Integrated Day Charter School District","=""2640013""","*","*"
"Killingly School District","=""0690011""",18,19
"Learn","=""2450014""","*","*"
"Ledyard School District","=""0720011""","*","*"
"Madison School District","=""0760011""","*","*"
"Manchester School District","=""0770011""",23,26
"Mansfield School District","=""0780011""","*","*"
"Marlborough School District","=""0790011""","*","*"
"Meriden School District","=""0800011""",16,17
"Middletown School District","=""0830011""","*",7
"Milford School District","=""0840011""",19,20
"Monroe School District","=""0850011""","*","*"
"Montville School District","=""0860011""","*","*"
"Naugatuck School District","=""0880011""",12,14
"New Beginnings Inc., Family Academy District","=""2800013""","*","*"
"New Britain School District","=""0890011""",59,83
"New Canaan School District","=""0900011""","*","*"
"New Fairfield School District","=""0910011""","*","*"
"New Hartford School District","=""0920011""","*",6
"New Haven School District","=""0930011""",52,61
"New London School District","=""0950011""",32,33
"New Milford School District","=""0960011""","*","*"
"Newington School District","=""0940011""","*","*"
"Newtown School District","=""0970011""","*",9
"North Branford School District","=""0990011""","*","*"
"North Canaan School District","=""1000011""","*","*"
"North Stonington School District","=""1020011""","*","*"
"Norwalk School District","=""1030011""",25,27
"Norwich Free Academy District","=""9010022""","*","*"
"Norwich School District","=""1040011""",6,8
"Odyssey Community School District","=""2630013""","*","*"
"Old Saybrook School District","=""1060011""","*","*"
"Oxford School District","=""1080011""","*","*"
"Park City Prep Charter School District","=""2830013""","*","*"
"Plainfield School District","=""1090011""",16,17
"Plainville School District","=""1100011""","*","*"
"Plymouth School District","=""1110011""","*","*"
"Putnam School District","=""1160011""",8,10
"Redding School District","=""1170011""","*","*"
"Regional School District 01","=""2010012""","*","*"
"Regional School District 06","=""2060012""","*","*"
"Regional School District 10","=""2100012""",6,6
"Regional School District 11","=""2110012""",8,9
"Regional School District 13","=""2130012""","*","*"
"Regional School District 14","=""2140012""","*","*"
"Regional School District 15","=""2150012""","*","*"
"Regional School District 16","=""2160012""","*","*"
"Regional School District 17","=""2170012""","*","*"
"Regional School District 18","=""2180012""",10,14
"Regional School District 19","=""2190012""","*","*"
"Ridgefield School District","=""1180011""","*",6
"Scotland School District","=""1230011""","*",9
"Seymour School District","=""1240011""","*","*"
"Shelton School District","=""1260011""",23,26
"Simsbury School District","=""1280011""","*","*"
"Somers School District","=""1290011""","*","*"
"South Windsor School District","=""1320011""","*","*"
"Southington School District","=""1310011""",19,20
"Stafford School District","=""1340011""","*","*"
"Stamford School District","=""1350011""",8,9
"Sterling School District","=""1360011""","*","*"
"Stonington School District","=""1370011""","*",6
"Stratford School District","=""1380011""",16,21
"Suffield School District","=""1390011""",12,16
"The Bridge Academy District","=""2690013""",17,34
"The Gilbert School District","=""9020022""",8,8
"Thomaston School District","=""1400011""",11,17
"Tolland School District","=""1420011""",9,9
"Torrington School District","=""1430011""",6,6
"Trailblazers Academy District","=""2780013""","*","*"
"Trumbull School District","=""1440011""","*","*"
"Vernon School District","=""1460011""",7,8
"Wallingford School District","=""1480011""",10,10
"Waterbury School District","=""1510011""",33,41
"Waterford School District","=""1520011""",6,8
"Watertown School District","=""1530011""",7,7
"West Hartford School District","=""1550011""",22,36
"West Haven School District","=""1560011""",8,8
"Weston School District","=""1570011""","*","*"
"Westport School District","=""1580011""","*","*"
"Wethersfield School District","=""1590011""","*","*"
"Wilton School District","=""1610011""","*","*"
"Windham School District","=""1630011""","*",6
"Windsor Locks School District","=""1650011""",10,14
"Windsor School District","=""1640011""","*","*"
"Woodstock School District","=""1690011""","*","*"

